Word,Meaning,Exemple,Type
Commotion,"Un vacarme, l'agitation, l""émoi, la confusion, le désordre, le trouble",The commotion around all the president's new dog is so silly,N
Curtly,"Séchement, brusquement","""No !"" she said curtly, definitely wanting to put an end to this discussion ",A
Comb,"Un peigne, un rayon ( de miel ) ","As she took another piece of comb, honey dripped on her hand",N
Causeway,"La chaussée, un pont-jetée","He didn't noticed, but his purse fell on the causeway while he was riding",N
Clammy,Moite,Clammy hands and stomach aches are usually a sign of heavy stress,A
Crammed,"Entassé, serré, bourré, surchargé, débordant","Today, students are crammed in the school library, usually quite empty",A
Coolly,"Froidement, calmement, fraîchement","The Ol'school, like he used to call himself, was sitting on a rock, coolly behaving. ",A
Caw,Croasser,"Above us, seagulls were flying in large circles, cawing to us and to each other",V
Crookback,Un bossu,Difficult to ride on these narrow crookback streets,N
Crib,"Un berceau, une crèche, une résidence","Yo man, your crib is so nice, i'm pleased to be here",N
Crone,"Une vieille bique, une vieille femme","I suggest you to not do that, unless you wanna deal with the sour crone over here",N
Contrite,"Se sent coupable, est pris de remords, contrit","He finally stood, a contrite look in his eyes and said ""It's me""",A
Cavort,"Faire des cabrioles, gambader",Plenty of rabbits were cavorting and hoping in the rice field,V
Cloven,"Fendu,coupé, tranché",A good hunter will notice every cloven-hooves footsteps in the dirt,A
Congeal,"Se congeler, geler, se solidifier","When the lord speaks, it's like all the counselors's brains are congealing ",V
Closet,Enfermer quelqu'un,She rushed to her room and closeted herself all day long,V
Cackle,Glousser,There was no place in the farm where you did not hear chickens cackle,V
Chink,Enfoncer dans une fente,Chink the stones in the pedestal and you will discover the truth,V
Craven,A coward,"There's no way he'll let the craven live, I'm positive about that",N
Cottonwood,Un peuplier,"Next to the lake, three cottonwoods stood, and we decided to lay under for a while",N
Cane,"Fouetter, battre, flageller, châtier","Back then, children used to be caned at school by the teacher if they were rebellious",V
Cordwainer,Un fabriquant de chaussures,"My family is filled with cordwainers, and yet I always like to be barefoot",N
Chisel,"Ciseler, buriner, graver au burin","This cavern has strange shapes, it must have been chiseled by someone",V
Cursory,"Rapide, superficiel, sommaire, torve",A cursory look on the book was enough to know it has been enchanted,A
Caparison,Un caparaçon,Horses with caparisons should be enough to win this fight ,N
Checkered,"A carreaux, quadrillé",A checkered black and white flag is usually the signal for the race to start,A
Cloying,"Envahissant, alourdi, saturé","Today's soup was bad, a small cloying hint of overpoured pepper was all I tested",A
Chalk,Esquisser ( à la craie ) ,The policeman was chalking out the body on the ground with a white stick,V
Careen,Avancer en zigzagant d'un coté à l'autre,She didn't had enough time to dodge the careening car coming toward her,V
Canter,Galoper,"Far away, horses were cantering in a grassy field",V
Capon,Un chapon,Today’s dinner was some alien capon-lookalike meat I never ate nor saw.,N
Coif,Une coiffe,"And here, a glass hull that’ll coif the submarine is being fabricated",N
Calf,"Un veau, le mollet","Right after the race, my calves began to cramp so badly it took me down",N
Catspaw,"Une personne-outil, qui sert les intêrets d'autrui",Gangs are always full of catspaws ready to make anything that could help us rise,N
Chestnut,"Une châtaigne, un châtaigner",Roasted chestnuts are one of my favorite treats,N
Clamber,"Grimper, escalader, monter","My friend and I have always clambered on every tree, over every tower and wall we saw",V
Copse,"Un bosquet, un taillis","Everytime we passed next to a copse, I stayed focused, ready to draw my gun",N
Crofter,Un agriculteur,This new law should be convenient for the crofters and their families,N
Conspicuous,"Visible, manifeste, ostentatoire",The bag was hidden in a very conspicuous way as if someone wanted us to find it,A
Clad,"Revêtu, recouvert, paré","In front of the door, two mail-clad guards were making jokes at eachother",A
Deign to,Daigner,We beg the Lord to deign to respond us,V
Dismay,"Désarroi, effaremment, consternation",She let out a cry of dismay,N
Dappled,"Parsemé, tacheté",He wore a dappled leopard jacket,A
Decay,"Se carier, se décomposer, se désintégrer",The sunlight slowly begin to make the vampire's skin decay,V
Dread,"Une peur, un effroi, une terreur, une hantise, une locks (de cheveux)",How can the baldest man be the most dreaded ?,N
Drooping,"Afaissé, abaissé",Lose weight quicly often leave you with drooping skin ,A
Don,"Enfiler, revêtir, endosser",Knights were all busy donning their armors,V
Dwindled,"Diminué, amoindri, réduit",This year's dwindled sales were not sufficient enough ,A
Dais,"Une estrade, un podium","The headteacher started his speech, up on his dais",N
Defiance,"Défi, désobeissance",She flipped him the bird in a clear act of defiance,N
Drear,"Une angoisse, un pressentiment",Drear filled him up as they walked in the mansion,N
Dully,"Ennuyeusement, sans éclat, monotonement",I dully followed him as he show me his puppet's collection,A
Droopy,"Tombant, abaissées","Droopy eyes, messy hair, she really had a bad night.",A
Drift out,"S'écouler, dériver",Their voices were drifting out of the window. I could hear them,V
Dangle,"Pendre, pendouiller",Dangle a carrot in front of a donkey to make it advance is a classic trick,V
Dusk,"Le crépuscule, la pénombre",Quick ! We don't have much time until dusk !,N
Damask,Un damas ( tissu de riche ),"Walls were covered in damasks, enlighten by the torches and the chimney fire",N
Deft,"Adroit, habile",Surgeons are known to make very deft work,A
Dank,"Humide, sombre, froid",Do we really have to go in these dank gloomy caverns once again ?,A
Duly,"Dûment, correctement",We will take your reclamation into account only when the form will be duly completed,A
Debtor,Un débiteur,Debtors who never pay are one of the many targets of the mafia,N
Disbelief,"Une incrédulité, une stupéfaction, une incroyance","With a look full of disbelief, he turned away and walked out the room",N
Damp,"Humide, mouillé, froid","A damp air suddenly filled the room, a Quiet was definitely here !",A
Dart,"Lancer, jeter, filer",We darted back as soon as we heard a sound behind the door,V
Drab,"Terne, morne","Hmmpf, Your life seems as drab as the colors on your painting !",A
Drafty,Venteux,"Oh let me guess, you're scared of haunted houses, ghosts and drafty shacks ?",A
Dandle,"Mettre/enlever un enfant sur ses genoux, to pet, to fondle",I must have looked sad cause she started dandling me upon her knees and hold me,V
Droll,Drôle,"Droll things usually happens when I'm alone, and nobody trust me when I relate them later",A
Deem,"Juger, considérer, estimer, réputer, trouver, présumer","Sometimes, we need to do sacrifices if we deem them necessary",V
Doe,"Une biche, une lapine","Suddenly, a doe dashed from the bushes in front on us and jumped in fear when it saw us",N
Dab,"Tamponner, tapoter","Her ointment in hand, she began to gently dab the wound with softness",V
Defile,"Souiller, salir, profaner","The priest said usual things, about evil things defiling mankind and all",V
Deity,Une divinité,"Worship deities, light candles, read books, priest is not a work for me",N
Desultory,"Désultoire, avec légèreté","Lately, she had been working desultory, and I wonder why",A
Drawl,Parler d'une voix traînante,"The more we drank, the more we began to drawl and tumble",V
Dew,La rosée,She often gets up early to admire the sunrise and the morning dew,N
Emblazoned,"Serti, imprimé, décoré","When I saw the pattern emblazoned on his chest, I understood",A
Enraptured,"Ravi, enchanté",I'm pretty sure she will be enraptured with the news,A
Embroidered,Brodé,How much for this hand-embroidered fine coat ?,A
Errand,"Une course, une commission",I told the errand boy to fetch me some fruits,N
Enamel,"Le vernis, l'émail, la laque",Enamel can be found on human's teeth and nails,N
Exhilarating,"Exaltant, excitant, enthousiasmant, vivifiant",I always had been attracted by exhilarating projects and experiences,A
Evenfall,"La tombée de la nuit, ~ dusk","At evenfall, you can see all the houses lights turning off one by one",N
Earnest,"Sérieux, sincère, fervent, penétré","You did it with an earnest effort, this is why I want to reward you ",A
Elk,"Un wapiti, un élan","I never saw a elk in my entire life, so I hope encountering one soon",N
Elm,Un orme,"The road was flanked by elms, that's all I remember",N
Engrossed,"Accaparé, absorbé","The young monk was sitting next to the fire, engrossed in reading a book",A
Ebb,"Baisser, diminuer, descendre, s'amenuiser","Each day, the sun and our supplies slowly ebbed until there was just the sun left",V
Enmity,"Une hostilité, une inimitié, une animosité","It is no time for both of our clans to dig up an old enmity buried deep since two hundred years, don't you think ?",N
Espy,"Aperçevoir, percevoir","The queen espied us when she entered the room, and it gave us the chills",V
Engulf,"Submerger, engloutir","The last tidal wave engulfed the whole street, so this time we're building a dyke",V
Flinch,Tressaillir de peur ou de douleur,He will not flinch from any crime,V
Flinch,Un mouvement brusque en réponse à de la douleur,"His body stood still, not having any flinches even thought he was burning",N
Furrowed,"Froncé, plissé",Her brows were furrowed the second I said that,A
Foster ,"Favoriser, accueillir, faciliter, instaurer, nourrir",She fostered at Mms Andrews's for two months.,V
Feverish,"Fiévreux, fébrile, enfievré, effréné","He rushed towards the door, a feverish look in his eyes",A
Flanked by,"Encadrer, flanquer",The king was flanked by his two guards,A
Foreboding,"Un pressentiment, une appréhension",Sometimes i have a sense of foreboding about something about to happen,N
Flagon,"Une bouteille, un pichet",There was at least three flagons of wine per table during the feast,N
Frolic,"S'ébattre, batifoler, gambader ","Deep in the jungle, animals frolic without fearing men ",V
Fret,Se tracasser,Don't fret too much about what happened last night. It's all forgotten,V
Frail,"Fragile, frêle, chétif, souffreteux","The frail little man was standing next to the fire, as always.",A
Fleck,"Une tache, une particule","The city where I grew up is so small, it's this little fleck here, on the map",N
Filly,Une pouliche,This is the stables where we keep the fillies,N
Fealty,Une allégeance,He and his whole family had sworn fealty to the new king,N
Flock,Affluer,Tourists usually flock in shops by this time of the year,V
Flurry,"S'agiter, s'affoler",Small amounts of sand flurried about their footsteps,V
Flint,"Un silex, une pierre à fusil, une pierre à feu","Finally, a spark came out of his flints as he struck them together",N
Fiddled,"Bricoler, tripoter, truquer, triturer","It wasn't like that last time, it must have been fiddled with meanwhile",A
Frantic,"Effréné, frénétique, fou, paniqué, affolé, desespéré","He started running at a frantic pace, showing us his true nature",A
Fervently,Ardemment,I am fervently hoping for a rise of incomes for this year,A
Falter,"Faiblir, hésiter, bafouiller, chanceler","She answered every single question perfectly, but faltered on the last one and ended second",V
Fooder,"Une tonneau de vin, de la nourriture pour animaux","We have plenty of wine fooders, it is no need reordering some from abroad !",N
Fowl,"La volaille, une poule","Fowls, turkeys and ducks are my favorite linf of meat since I'm a kid",N
Forswear,Renoncer à,"He's so fond of engineering his robots, it's not a thing he will easily forswear",V
Flare,"Eclater, s'échauffer, flamber, ondoyer, vaciller","In the dead of night, violences flared in a place far away from here",V
Forlorn,"Triste, abandonné, malheureux, délaissé, mélancolique",I'm afraid that our plan is just a forlorn hope and impossible to achieve,A
Falsetto,De fausset ( très haute voix d'homme ),He began to talk with a falsetto voice which didn't match his allure,A
Forget-me-not,Un myosotis,"In the wood, patches of forget-me-nots were reflecting the light, giving the atmosphere a fairy theme",N
Flake,"Un flocon, une écaille, une lamelle",It was snowing large flakes when we finally reached our destination,N
Fidget,"Bouger, gigoter, remuer","Avoid fidgeting in job interviews or dates, it sends a wrong message",V
Grace,Orner,The direwolf graces the banner of house Stark,V
Grasp,"Une compréhension, une étreinte, une poigne, une maîtrise",I now have a good grasp of the problem,N
Grove,"Un bosquet, un verger, un petit bois",I spent so much time wandering in this grove when i was a kid,N
Gown,"Une robe, une toge, un peignoir, une blouse",What a wonderful gown she was wearing tonight !,N
Gaunt,"Decharné, efflanqué, hagard","He was very skinny, almost gaunt, i'd say",A
Garments,Des vêtements,"In here, they were all wearing the same garments",N
Girth,"La circonference, une sangle, une sous-ventrière","Due to your large girth, you couldn't fit in the hole ",N
Groan,"Gémir, maugréer, grogner","""Shut up !"" he groaned loudly",V
Gleam,"Briller, luir, étinceler","She was so fair that she might gleam in the dark, I thought",V
Gravy,"La sauce, le jus",He dipped the chicken in the gravy bowl next to him,N
Glumly,"Morose, sombre, maussade, lugubre, abattu","He glumly shrugged, not paying attention to what we were saying to him",A
Guidance,"Des conseils, une orientation, une direction, une conduite","When I feel unsure of what I'm about to do, I look for other's guidance",N
Glare,"Eblouir, briller, regarder","She glared at him a last time, then left the room",V
Gnarled,Noueux,"All gnarled and stunted, the old tree was still the old tree",A
Gouge,"Une crevasse, un ravin, une gouge ( outil menuisier )",She cried so much that tears almost left gouges on her cheeks,N
Gape at,Regarder bouche bée,The only thing thess animals see all day is a bunch of dudes gaping at them,V
Gait,"Une démarche, une allure","The drunken man stumbled home, with an ungainly gait",N
Grumble,"Grommeler, se plaindre, grogner, rouspéter","The old man grumbled once more, showing us his disapproval",V
Gullet,"Un oesophage, un gosier ","As wine was flowing in his gullet, he noticed a strange and unknown taste in it",N
Guffaw,"S'esclaffer, pouffer de rire, glousser","The two big guys stared at eachother, then suddenly guffawed together",V
Glower,"Jeter un regard noir, regarder en froncant les sourcils","The master glowered at us, as if he knew all about our morning's mischiefs.",V
Galley,"Une galère, une cuisine ( bateau )","This guy is said to be able to run a galley all by himself, which I don't trust",N
Granary,Un grenier,Me and my crew always used to hang out and chill in the local granaries,N
Gingerly,"Avec précaution, prudemment, doucement","I gingerly disentangled the bomb's wires, then cautiously cut the - BWWROOM ",A
Graze,"Paître, brouter, écorcher, égratigner","While sheeps were grazing in the field, the redneck grazed his wife with a rifle",V
Groom,"Former, brosser, peigner, toiletter, préparer",My new army is coming ! My generals are already grooming my recruits,V
Gruff,Bourru,"My man over here may seem a little gruff, but I assure, he's worst, so don't push him",A
Ghastly,"Epouvantable, terrible, effroyable, blême","A ghastly monster was wandering in the yard, so we stopped and waited for him to leave",A
Giddy,"Etourdi, écervelé","I always found the capital's buildings quite giddy, and wondered what it would be like to jump from one of them",A
Grim,"Sombre, sinistre, dur, macabre, déprimant, sévère","I was always told to be nice and obediant, otherwise the Grim Reaper would come and take my soul ",A
Galling,"Exaspérant, irritant, énervant","He was always wearing this stupid galling look on his smile, and that did not help",A
Gelding,Un hongre,"This one is a good gelding, it will be perfect for my daughter, how much does it cost sir ?",N
Greave,Un creton ( sorte de paté ),"Each time we paid her a visit, she gave us a can of her own greave",N
Gaoler,Le geôlier,The gaoler opened the door and threw a chunk of mold bread at us,N
Glob,Une goutte,"He stood up from the ground, a glob of blood on his upper lip where he had been punched",N
Grudge,"Une rancune, de la rancoeur, un ressentiment",The conflict would easily end if each part accepted to give up their grudges,N
Garland,"Une guirlande, une couronne",It is common thing to receive a flower garland when landing In Hawaii,N
Goad,Provoquer,"Apparently wanting to goad me, the boy stared at me and flipped me the bird",V
Hackles,Long feathers on the back of some chickens,,N
Holdfast,Un étau,,N
Hoot,"Hululer, huer, siffler",He was hooting as he rode,V
Headsman,Un bourreau,King Robert has a headsman,N
Hooves,Les sabots ( animal ),Look at the size of these hooves !,N
Hurtling,"Se dressant, apparaissant, menant, envoyé violement",I was unaware of the obstacles which will soon be hurtling toward us,A
Hoist,"Hisser, relever, soulever",What a proud look he had when he hoisted the winning cup !,V
Hoarse,"Rauque, éraillé, enroué",I like to sing all night long until i'm hoarse,A
Hazy,"Brumeux, flou, trouble","Your knowledge on the subject are a bit hazy, ain't they ?",A
Huddled,"Se tapir, recroqueviller, blottir, regrouper, entasser",American football players huddle when they discuss strategies,V
Hearth,"L'âtre, la cheminée, le foyer",Are people really ready to defend their hearth and homes if invaded ?,N
Haul,"Transporter, tirer, trainer",Workers were hauling stuff and tools around the building,V
Headlong,La tête la première,"I jumped headlong in the river, a riskier but funnier way to get down the cliff",A
Haunch,"Une hanche, un cuissot, un gigot",Practicing everyday will be the key if you want to strenghten your haunches,N
Hack,"Hacker, taillader, tailler, hacher",This really sharpen sword could easily hack a man's head off,V
Herd,Un troupeau,"Sometimes, we can see the sheep herds on the moutains from our windows",N
Hush,Un silence,"A hush suddenly fell on the room, as if everyone had heard that",N
Hummock,"Un tertre, une butte","Here and there, small hummocks covered in grass and adorned with flowers stood",N
Hobble,"Entraver, boitiller","The strange orb seems like wanting to hobble me, by standing in my way all the time",V
Heed,"Respecter, prendre en compte, observer, se soucier, écouter","If we write these instructions, then you too will have to heed them, right ?",V
Heedless,"Sans se soucier de, insensible à, débridé",The question there is to know if that was an heedless act or if he was just unaware ?,A
Hound,"Harceler, traquer, acculer, s'acharner",Hounding minorities is bad and sometimes causes rebellions,V
Heave,"Soulever, tanguer, avoir des haut-le-coeur, tracter","The ground began to heave, as if it was alive and breathing.",V
Hull,"Une coque, une enveloppe, un fuselage, une cosse","This submarine's hull can support the pressure up to 400ft, but no more, understood ?",N
Hamstring,Paralyser,"Your non-communication is what hamstrung the project, you damn fools !",V
Haggle,Marchander,Systematicaly haggle over every price is considered as the norm in some countries,V
Hovel,"Une masure, un taudis","The Stomps were living in the hovel next to the junkyard, a shack made with metal scraps",N
Hen,"Une poule, une femelle","A bunch of hens was crossing the road, and not a single feather was on 'em",N
Hauberk,Un haubert ( robe de mailles ),The dagger ripped on his hauberk and only made him madder than before ,N
Herald,"Annoncer, proclamer","Our grandmaster heralded your arrival, Sire, please let us escort you to her",V
Happenstance,"Le hasard, coincidence fortuite",It wasn't by happenstance that our stones were stolen the same night Eva wasn't with us.,N
Hew,"Tailler, abattre, couper",The little folks hew their way through the grass by cutting flowers and herbs,V
Hunker,"S'asseoir sur ses talons, se préparer à","The chief hunter went next to the steps, hunkered down and pointed a path for us to go",V
Harried,"Affairé, pressé, bousculé","Everyone in the metropol seemed to be harried, striding somewhere and carrying stuff.",A
Homely,"Accueillant, simple","The room was small and had ugly paintings on the wall, but felt somehow homely",A
Hawk,"Colporter, vendre",It has always been our policy to hawk our goods to the highest bidder,V
Humpbacked,Bossu,A humpbacked man welcomed us and took us to our respective rooms,A
Hart,Un cerf,"Deep down in the woods, lives a beautiful hart which knows the truth",N
Haughtily,Hautainement,"Haughtily, the lady looked down at me, shrugged, and turned away",A
Hence,"D'ou, par conséquent, ainsi","I see no mistakes in your work, hence I allow you to pursue it",A
Hiss,"Siffler, souffler, gresiller","The speaker wasn’t a high quality one, so it hissed each time we put sound on it.",V
Husk,Décortiquer,The mots tedious work I know is to husk the freshly harvested rice,V
Hind,"Arrière, de derrière, postérieur",The dog stood on his hind legs to reach the sausage on the table,A
Insofar,"dans la mesure de, pourvu que",At least insofar as his wardrobe was concerned,A
Intent,"Attentif, determiné",He was silent and intent,A
Impervious,"Impréméable, résistant, insensible, étanche, indifférent, sourd",The cloak was made of an unknown yet impervious material,A
Intricate,"Complexe, compliqué, délicat","And finally, the most intricate but also admirable work : the clock of Doom",A
The instep,Le cou-de-pied,The shoe is fastened with a lace on the instep,N
Irksome,"Ennuyeux, irritant","Even the most irksome job can be enjoyable if well paid, right ?",A
Inanely,"Absurdement, ineptement","They were inanely arguing, yelling at but not hearing eachother at all",A
Impugn,"Dénigrer, mettre en doute","Please stop impugning whatever I say, it’s getting very annoying",V
Jowl,Une bajoue,Hamsters store plenty of food using their jowls,N
Jest,"Plaisanter, moquer, railler",I like to jest to make people happy around me,V
Jumble,"Un mélange, un pêle-mêle, un fouillis, un méli-mélo",What appeared like a jumble of cables was actually a very organized structure,N
